City,State,Metro,County Name,Price,Earthquake Grants,Fire Grants,Flood Grants,Hurricane Grants,Mud/Landslide Grants,Other Grants,Severe Storm Grants,Tornado Grants,Earthquake Events,Fire Events,Flood Events,Hurricane Events,Mud/Landslide Events,Other Events,Severe Storm Events,Tornado Events
New York,NY,New York,New York,1222500.0,,,,24625132.25,,,,,,,,442.0,,,,
Chicago,IL,Chicago,Cook,484950.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
McKinney,TX,Dallas-Fort Worth,Collin,370000.0,,,,,,,,,,,,,,,,
Cinco Ranch,TX,Houston,Fort Bend,364900.0,,1052817.88,62906981.4,271956473.2,,,28110777.19,,,8.0,412.0,708.0,,,396.0,
Chicago,IL,Chicago,Cook,690000.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
El Paso,TX,El Paso,El Paso,134950.0,,,3561960.19,,,,,,,,66.0,,,,,
Houston,TX,Houston,Harris,184900.0,,,48611960.21,260245203.5,,,26701559.42,,,,311.0,554.0,,,360.0,
New York,NY,New York,New York,1580000.0,,,,24625132.25,,,,,,,,442.0,,,,
Chicago,IL,Chicago,Cook,275000.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
San Juan,NC,Durham,Chatham,145000.0,,,,12184829.77,,,,,,,,258.0,,,,
Houston,TX,Houston,Harris,195000.0,,,48611960.21,260245203.5,,,26701559.42,,,,311.0,554.0,,,360.0,
San Francisco,CA,San Francisco,San Francisco,1167500.0,,,,,,,,,,,,,,,,
New York,NY,New York,Kings,659000.0,,,,479132635.5,,,,,,,,343.0,,,,
New York,NY,New York,New York,1300000.0,,,,24625132.25,,,,,,,,442.0,,,,
The Villages,FL,The Villages,Sumter,259900.0,,15709973.0,18486306.65,9861116.52,,,81414526.46,,,80.0,141.0,61.0,,,507.0,
New York,NY,New York,Queens,424000.0,,,,803787716.8,,,,,,,,792.0,,,,
New York,NY,New York,Kings,586000.0,,,,479132635.5,,,,,,,,343.0,,,,
Nashville,TN,Nashville,Davidson,199900.0,,,,,,,162424745.0,,,,,,,,146.0,
