Zip Code,City,State,Metro,County Name,Price,Earthquake Grants,Fire Grants,Flood Grants,Hurricane Grants,Mud/Landslide Grants,Other Grants,Severe Storm Grants,Tornado Grants,Earthquake Events,Fire Events,Flood Events,Hurricane Events,Mud/Landslide Events,Other Events,Severe Storm Events,Tornado Events
10025,New York,NY,New York,New York,1222500,,,,24625132.25,,,,,,,,442,,,,
60657,Chicago,IL,Chicago,Cook,484950,,,172169402.5,,,,487306063.1,,,,405,,,,935,
75070,McKinney,TX,Dallas-Fort Worth,Collin,370000,,,,,,,,,,,,,,,,
77494,Cinco Ranch,TX,Houston,Fort Bend,364900,,1052817.88,62906981.4,271956473.2,,,28110777.19,,,8,412,708,,,396,
60614,Chicago,IL,Chicago,Cook,690000,,,172169402.5,,,,487306063.1,,,,405,,,,935,
79936,El Paso,TX,El Paso,El Paso,134950,,,3561960.19,,,,,,,,66,,,,,
77084,Houston,TX,Houston,Harris,184900,,,48611960.21,260245203.5,,,26701559.42,,,,311,554,,,360,
10002,New York,NY,New York,New York,1580000,,,,24625132.25,,,,,,,,442,,,,
60640,Chicago,IL,Chicago,Cook,275000,,,172169402.5,,,,487306063.1,,,,405,,,,935,
00926,San Juan,NC,Durham,Chatham,145000,,,,12184829.77,,,,,,,,258,,,,
77449,Houston,TX,Houston,Harris,195000,,,48611960.21,260245203.5,,,26701559.42,,,,311,554,,,360,
94109,San Francisco,CA,San Francisco,San Francisco,1167500,,,,,,,,,,,,,,,,
11226,New York,NY,New York,Kings,659000,,,,479132635.5,,,,,,,,343,,,,
10016,New York,NY,New York,New York,1300000,,,,24625132.25,,,,,,,,442,,,,
32162,The Villages,FL,The Villages,Sumter,259900,,15709973,18486306.65,9861116.52,,,81414526.46,,,80,141,61,,,507,
11375,New York,NY,New York,Queens,424000,,,,803787716.8,,,,,,,,792,,,,
11235,New York,NY,New York,Kings,586000,,,,479132635.5,,,,,,,,343,,,,
37013,Nashville,TN,Nashville,Davidson,199900,,,,,,,162424745,,,,,,,,146,
90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,614000,,27406651.26,,,,,,,,273,,,,,,
60647,Chicago,IL,Chicago,Cook,474900,,,172169402.5,,,,487306063.1,,,,405,,,,935,
37211,Nashville,TN,Nashville,Davidson,290000,,248002.7,,,,,182476235.4,,,6,,,,,239,
10009,New York,NY,New York,New York,1422500,,,,24625132.25,,,,,,,,442,,,,
78660,Pflugerville,TX,Austin,Travis,269000,,1599454.65,516476.41,,,,27344803.51,,,20,23,,,,180,
60618,Chicago,IL,Chicago,Cook,489900,,,172169402.5,,,,487306063.1,,,,405,,,,935,
10029,New York,NY,New York,New York,918000,,,,24625132.25,,,,,,,,442,,,,
77573,League City,TX,Houston,Galveston,309990,,,,347395527.3,,,56058.23,,,,,288,,,14,
77584,Pearland,TX,Houston,Brazoria,299500,,,17563066.3,47338762.4,,,2145354.48,,,,100,256,,,73,
28269,Charlotte,NC,Charlotte,Mecklenburg,215000,,,,,,,,,,,,,,,,
79912,El Paso,TX,El Paso,El Paso,235450,,,3561960.19,,,,,,,,66,,,,,
78572,Mission,TX,McAllen,Hidalgo,195000,,,556905.18,22328482.43,,,5814518.16,,,,31,172,,,92,
94565,Pittsburg,CA,San Francisco,Contra Costa,429950,,,,,,,,,,,,,,,,
30349,Riverdale,GA,Atlanta,Clayton,179000,,,1082755.35,,,,16893212.22,,,,29,,,,235,
20002,Washington,DC,Washington,District of Columbia,624900,,,,,,,,,,,,,,,,
90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1659250,,27406651.26,,,,,,,,273,,,,,,
78130,New Braunfels,TX,San Antonio,Comal,247999,,,,,,,12204286.29,,,,,,,,52,
78613,Cedar Park,TX,Austin,Williamson,328500,,1599454.65,516476.41,,,,27344803.51,,,20,23,,,,180,
20009,Washington,DC,Washington,District of Columbia,574900,,,,,,,,,,,,,,,,
75052,Grand Prairie,TX,Dallas-Fort Worth,Dallas,228250,,,,,,,2753419.78,,,,,,,,128,
10462,New York,NY,New York,Bronx,159999,,,,9488817.4,,,,,,,,134,,,,
37042,Clarksville,TN,Clarksville,Montgomery,169900,,197137.33,17200351.36,29119687.45,,,12201556.48,,,8,177,304,,,161,
77429,Cypress,TX,Houston,Harris,304990,,,48611960.21,260245203.5,,,26701559.42,,,,311,554,,,360,
63376,Saint Peters,MO,St. Louis,Saint Charles,214000,,,581358.15,,,,1843251.13,,,,21,,,,46,
60613,Chicago,IL,Chicago,Cook,334900,,,172169402.5,,,,487306063.1,,,,405,,,,935,
77479,Sugar Land,TX,Houston,Fort Bend,455950,,,9218591.88,11310568.88,,,1409217.77,,,,76,128,,,36,
30044,Lawrenceville,GA,Atlanta,Gwinnett,210384,,,,,,,14571208.44,,,,,,,,70,
73099,Yukon,OK,Oklahoma City,Canadian,219900,,762981.49,,,,,10861847.11,12015207.3,,11,,,,,197,134
77433,Cypress,TX,Houston,Harris,334990,,,48611960.21,260245203.5,,,26701559.42,,,,311,554,,,360,
10463,New York,NY,New York,Bronx,299000,,,,34113949.65,,,,,,,,576,,,,
11230,New York,NY,New York,Kings,584500,,,,479132635.5,,,,,,,,343,,,,
60629,Chicago,IL,Chicago,Cook,162450,,,172169402.5,,,,487306063.1,,,,405,,,,935,
60625,Chicago,IL,Chicago,Cook,319000,,,172169402.5,,,,487306063.1,,,,405,,,,935,
30043,Lawrenceville,GA,Atlanta,Gwinnett,264900,,,,,,,14571208.44,,,,,,,,70,
75034,Frisco,TX,Dallas-Fort Worth,Collin,500495,,,,,,,377323.65,,,,,,,,45,
75287,Dallas,TX,Dallas-Fort Worth,Dallas,372450,,,,,,,3130743.43,,,,,,,,173,
28277,Charlotte,NC,Charlotte,Mecklenburg,399900,,,,,,,,,,,,,,,,
85032,Phoenix,AZ,Phoenix,Maricopa,260000,,,,,,,,,,,,,,,,
07030,Hoboken,NJ,New York,Hudson,807500,,,,57577712.91,,,,,,,,186,,,,
11214,New York,NY,New York,Kings,698000,,,,479132635.5,,,,,,,,343,,,,
21234,Parkville,MD,Baltimore,Baltimore,209900,,,,,,,,,,,,,,,,
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,750000,,,,,,,,,,,,,,,,
78521,Brownsville,TX,Brownsville,Cameron,127000,,,,27464278.84,,,388985.17,,,,,116,,,21,
23464,Virginia Beach,VA,Virginia Beach,Virginia Beach City,252000,,,,,,,,,,,,,,,,
77077,Houston,TX,Houston,Harris,359000,,,48611960.21,260245203.5,,,26701559.42,,,,311,554,,,360,
94501,Alameda,CA,San Francisco,Alameda,849475,,,,,,,,,,,,,,,,
30096,Duluth,GA,Atlanta,Gwinnett,249900,,,,,,,14571208.44,,,,,,,,70,
78704,Austin,TX,Austin,Travis,559000,,1351451.95,516476.41,,,,7293313.17,,,14,23,,,,87,
98052,Redmond,WA,Seattle,King,725000,,,2960015.36,,,,3289894.16,,,,93,,,,117,
77379,Tomball,TX,Houston,Harris,313445,,,48611960.21,260245203.5,,,26701559.42,,,,311,554,,,360,
75243,Dallas,TX,Dallas-Fort Worth,Dallas,251250,,,,,,,2753419.78,,,,,,,,128,
11221,New York,NY,New York,Kings,799000,,,,479132635.5,,,,,,,,343,,,,
78245,San Antonio,TX,San Antonio,Bexar,219500,,,,,,,2107053.59,,,,,,,,70,
11229,New York,NY,New York,Kings,619500,,,,479132635.5,,,,,,,,343,,,,
08701,Lakewood,NJ,New York,Ocean,239000,,,,907049858.8,,,1874329.46,,,,,846,,,54,
11207,New York,NY,New York,Kings,449000,,,,479132635.5,,,,,,,,343,,,,
60619,Chicago,IL,Chicago,Cook,99219,,,172169402.5,,,,487306063.1,,,,405,,,,935,
94110,San Francisco,CA,San Francisco,San Francisco,1195000,,,,,,,,,,,,,,,,
78666,San Marcos,TX,Austin,Hays,269990,,238951.3,,,,,13665581.97,,,6,,,,,72,
30024,Suwanee,GA,Atlanta,Gwinnett,420000,,,1082755.35,,,,30095860.69,,,,29,,,,269,
60610,Chicago,IL,Chicago,Cook,499999,,,172169402.5,,,,487306063.1,,,,405,,,,935,
10019,New York,NY,New York,New York,1695000,,,,24625132.25,,,,,,,,442,,,,
44107,Lakewood,OH,Cleveland,Cuyahoga,172950,,,,,,,,,,,,,,,,
75067,Lewisville,TX,Dallas-Fort Worth,Denton,273750,,,,,,,3130743.43,,,,,,,,173,
33025,Miramar,FL,Miami-Fort Lauderdale,Broward,215000,,,,,,,,,,,,,,,,
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,319000,,,,,,,,,,,,,,,,
33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,450000,,,,,,,,,,,,,,,,
90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,419000,,27406651.26,,,,,,,,273,,,,,,
48197,Ypsilanti,MI,Ann Arbor,Washtenaw,227000,,,,,,,,,,,,,,,,
02169,Quincy,MA,Boston,Norfolk,399900,,,,,,,17631869.82,,,,,,,,128,
23462,Virginia Beach,VA,Virginia Beach,Virginia Beach City,200000,,,,,,,,,,,,,,,,
90805,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,439900,,27406651.26,,,,,,,,273,,,,,,
66062,Olathe,KS,Kansas City,Johnson,299250,,,107764.77,,,,39635982.14,,,,4,,,,197,
44035,Elyria,OH,Cleveland,Lorain,89900,,,,,,,,,,,,,,,,
95630,Folsom,CA,Sacramento,Sacramento,565000,,,,,,,,,,,,,,,,
90650,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,460000,,27406651.26,,,,,,,,273,,,,,,
11234,New York,NY,New York,Kings,609000,,,,479132635.5,,,,,,,,343,,,,
92683,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange,666944,1009418.48,5351166.91,5900087.86,178470717.7,,,1475602.49,,22,81,30,315,,,121,
85710,Tucson,AZ,Tucson,Pima,177000,,,,,,,,,,,,,,,,
19143,Philadelphia,PA,Philadelphia,Philadelphia,85000,,,6316313.88,30402319.43,,,,,,,129,234,,,,
78745,Austin,TX,Austin,Travis,325000,,1351451.95,516476.41,,,,7293313.17,,,14,23,,,,87,
11355,New York,NY,New York,Queens,607499.5,,,,803787716.8,,,,,,,,792,,,,
10314,New York,NY,New York,Richmond,529000,,,,397023296.9,,,,,,,,155,,,,
60617,Chicago,IL,Chicago,Cook,94000,,,172169402.5,,,,487306063.1,,,,405,,,,935,
30281,Stockbridge,GA,Atlanta,Henry,182900,,,326819.49,,,,3049607.18,,,,18,,,,83,
32210,Jacksonville,FL,Jacksonville,Duval,139900,,,,1299333.07,,,3632921.27,,,,,64,,,118,
37075,Hendersonville,TN,Nashville,Sumner,359489,,,,,,,10708957.92,,,,,,,,48,
94558,Napa,CA,Napa,Napa,759000,11387842.09,,,,,,,,27,,,,,,,
60611,Chicago,IL,Chicago,Cook,575000,,,172169402.5,,,,487306063.1,,,,405,,,,935,
11215,New York,NY,New York,Kings,1150000,,,,479132635.5,,,,,,,,343,,,,
90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,899000,,27406651.26,,,,,,,,273,,,,,,
85225,Chandler,AZ,Phoenix,Maricopa,258000,,,,,,,,,,,,,,,,
91910,Chula Vista,CA,San Diego,San Diego,517500,,81483289.38,,,,,,,,208,,,,,,
87111,Albuquerque,NM,Albuquerque,Bernalillo,285070,,,,,,,,,,,,,,,,
28027,Concord,NC,Charlotte,Cabarrus,300000,,,,,,,,,,,,,,,,
06010,Bristol,CT,Hartford,Hartford,179900,,,,3218955.95,,,,,,,,156,,,,
78240,San Antonio,TX,San Antonio,Bexar,189950,,,,,,,2107053.59,,,,,,,,70,
87114,Albuquerque,NM,Albuquerque,Bernalillo,239900,,,,,,,,,,,,,,,,
89108,Las Vegas,NV,Las Vegas,Clark,199900,,,44330.81,,,,5038162.82,,,,2,,,,79,
